name,country,position,overall_rating,pace,shooting,passing,defending,stamina,injury_risk,goals_last_season,assists_last_season
Vinicius Junior,Brazil,FWD,90,95,84,80,38,86,12,22,11
Rodrygo,Brazil,FWD,86,88,81,80,42,82,15,16,9
Bruno Guimaraes,Brazil,MID,85,72,76,83,80,88,12,6,8
Player 4,Brazil,GK,91,71,66,76,61,86,30,4,1
Player 5,Brazil,GK,91,71,66,76,61,83,44,0,1
Player 6,Brazil,GK,94,74,69,79,64,88,6,3,2
Player 7,Brazil,DEF,88,68,63,73,83,90,18,4,1
Player 8,Brazil,DEF,88,68,63,73,85,72,22,0,0
Player 9,Brazil,DEF,92,72,67,77,94,88,37,2,2
Player 10,Brazil,DEF,86,66,61,71,89,86,35,1,2
Player 11,Brazil,DEF,94,74,69,79,90,77,28,0,0
Player 12,Brazil,DEF,93,73,68,78,93,82,37,1,0
Player 13,Brazil,DEF,91,71,66,76,99,71,5,2,2
Player 14,Brazil,DEF,94,74,69,79,94,71,16,0,1
Player 15,Brazil,MID,94,94,69,99,64,76,19,2,6
Player 16,Brazil,MID,88,89,63,92,58,74,29,4,1
Player 17,Brazil,MID,93,78,68,89,63,71,15,1,6
Player 18,Brazil,MID,92,79,67,94,62,84,6,2,9
Player 19,Brazil,MID,85,76,60,81,55,87,15,3,4
Player 20,Brazil,MID,94,99,69,99,64,84,38,2,8
Player 21,Brazil,MID,91,86,66,86,61,71,42,0,10
Player 22,Brazil,FWD,94,98,86,79,64,78,5,7,1
Player 23,Brazil,FWD,92,82,89,77,62,82,10,14,10
Harry Kane,England,FWD,90,69,93,84,45,83,10,36,7
Jude Bellingham,England,MID,90,80,85,83,82,90,10,20,15
Bukayo Saka,England,FWD,87,86,81,80,45,84,15,16,12
Player 4,England,GK,85,65,60,70,55,77,30,5,0
Player 5,England,GK,93,73,68,78,63,76,44,2,0
Player 6,England,GK,88,68,63,73,58,71,5,4,1
Player 7,England,DEF,91,71,66,76,99,85,10,4,0
Player 8,England,DEF,90,70,65,75,89,72,17,4,2
Player 9,England,DEF,89,69,64,74,87,76,14,2,1
Player 10,England,DEF,89,69,64,74,89,92,30,0,2
Player 11,England,DEF,86,66,61,71,81,81,34,5,2
Player 12,England,DEF,87,67,62,72,83,86,7,4,2
Player 13,England,DEF,89,69,64,74,86,89,23,0,2
Player 14,England,DEF,85,65,60,70,93,77,8,0,2
Player 15,England,MID,87,77,62,84,57,75,37,0,9
Player 16,England,MID,87,88,62,84,57,80,30,3,6
Player 17,England,MID,85,85,60,92,55,79,7,4,8
Player 18,England,MID,87,78,62,89,57,77,25,2,9
Player 19,England,MID,88,94,63,89,58,70,23,1,5
Player 20,England,MID,86,71,61,81,56,73,7,5,1
Player 21,England,MID,84,82,59,80,54,72,13,3,9
Player 22,England,FWD,84,69,84,69,54,75,39,11,2
Player 23,England,FWD,89,89,91,74,59,74,11,6,8
Player 1,Spain,GK,83,63,58,68,53,73,37,3,2
Player 2,Spain,GK,83,63,58,68,53,78,34,2,2
Player 3,Spain,GK,87,67,62,72,57,85,36,2,0
Player 4,Spain,DEF,91,71,66,76,89,92,26,2,1
Player 5,Spain,DEF,83,63,58,68,88,84,19,1,2
Player 6,Spain,DEF,90,70,65,75,88,80,43,1,1
Player 7,Spain,DEF,88,68,63,73,84,79,35,1,2
Player 8,Spain,DEF,90,70,65,75,98,85,10,0,0
Player 9,Spain,DEF,89,69,64,74,90,80,32,3,0
Player 10,Spain,DEF,85,65,60,70,86,87,23,2,1
Player 11,Spain,DEF,88,68,63,73,93,85,10,5,1
Player 12,Spain,MID,84,74,59,80,54,70,11,5,6
Player 13,Spain,MID,88,96,63,88,58,80,18,3,9
Player 14,Spain,MID,90,99,65,91,60,70,38,0,7
Player 15,Spain,MID,91,99,66,86,61,83,43,5,4
Player 16,Spain,MID,89,93,64,96,59,83,10,4,1
Player 17,Spain,MID,87,85,62,89,57,85,13,4,9
Player 18,Spain,MID,85,73,60,91,55,71,22,1,4
Player 19,Spain,MID,87,76,62,90,57,92,27,3,4
Player 20,Spain,FWD,86,71,86,71,56,73,28,6,7
Player 21,Spain,FWD,83,76,83,68,53,90,31,12,9
Player 22,Spain,FWD,86,81,78,71,56,79,38,4,0
Player 23,Spain,FWD,85,95,78,70,55,92,14,15,6
Player 1,Portugal,GK,91,71,66,76,61,83,29,3,0
Player 2,Portugal,GK,83,63,58,68,53,73,14,5,0
Player 3,Portugal,GK,84,64,59,69,54,89,40,3,2
Player 4,Portugal,DEF,84,64,59,69,86,88,9,2,2
Player 5,Portugal,DEF,91,71,66,76,99,79,23,0,0
Player 6,Portugal,DEF,87,67,62,72,82,85,12,1,0
Player 7,Portugal,DEF,85,65,60,70,80,73,9,5,1
Player 8,Portugal,DEF,88,68,63,73,90,81,33,4,2
Player 9,Portugal,DEF,83,63,58,68,86,83,5,0,1
Player 10,Portugal,DEF,88,68,63,73,86,84,9,5,2
Player 11,Portugal,DEF,85,65,60,70,84,80,21,5,0
Player 12,Portugal,MID,85,81,60,91,55,87,22,2,8
Player 13,Portugal,MID,89,93,64,94,59,70,36,3,9
Player 14,Portugal,MID,89,74,64,94,59,86,21,1,6
Player 15,Portugal,MID,85,84,60,83,55,86,9,3,6
Player 16,Portugal,MID,86,92,61,93,56,87,26,1,5
Player 17,Portugal,MID,88,92,63,96,58,71,22,4,3
Player 18,Portugal,MID,91,98,66,95,61,91,17,1,0
Player 19,Portugal,MID,86,86,61,82,56,84,26,1,0
Player 20,Portugal,FWD,84,81,75,69,54,88,12,12,9
Player 21,Portugal,FWD,88,79,91,73,58,77,42,15,10
Player 22,Portugal,FWD,85,87,75,70,55,91,41,9,2
Player 23,Portugal,FWD,83,79,84,68,53,75,27,15,3
Player 1,Netherlands,GK,86,66,61,71,56,76,24,3,2
Player 2,Netherlands,GK,87,67,62,72,57,80,22,4,1
Player 3,Netherlands,GK,88,68,63,73,58,89,6,3,0
Player 4,Netherlands,DEF,83,63,58,68,88,87,22,3,0
Player 5,Netherlands,DEF,84,64,59,69,90,88,33,3,0
Player 6,Netherlands,DEF,89,69,64,74,88,77,27,1,2
Player 7,Netherlands,DEF,90,70,65,75,88,79,25,3,2
Player 8,Netherlands,DEF,82,62,57,67,78,89,41,4,0
Player 9,Netherlands,DEF,81,61,56,66,82,77,20,1,1
Player 10,Netherlands,DEF,88,68,63,73,83,87,32,3,0
Player 11,Netherlands,DEF,90,70,65,75,92,91,37,5,1
Player 12,Netherlands,MID,82,86,57,88,52,81,17,0,9
Player 13,Netherlands,MID,86,89,61,89,56,71,13,1,7
Player 14,Netherlands,MID,82,76,57,85,52,74,40,0,7
Player 15,Netherlands,MID,83,89,58,83,53,75,14,1,5
Player 16,Netherlands,MID,83,87,58,89,53,81,33,1,5
Player 17,Netherlands,MID,81,75,56,85,51,72,16,5,3
Player 18,Netherlands,MID,90,99,65,95,60,74,25,3,7
Player 19,Netherlands,MID,89,93,64,97,59,92,33,0,9
Player 20,Netherlands,FWD,89,86,92,74,59,75,40,11,6
Player 21,Netherlands,FWD,87,87,84,72,57,71,28,10,2
Player 22,Netherlands,FWD,85,88,76,70,55,87,45,6,0
Player 23,Netherlands,FWD,85,84,81,70,55,74,40,13,5
Player 1,Italy,GK,80,60,55,65,50,74,35,1,0
Player 2,Italy,GK,84,64,59,69,54,71,16,3,1
Player 3,Italy,GK,83,63,58,68,53,77,5,3,0
Player 4,Italy,DEF,86,66,61,71,88,79,14,5,2
Player 5,Italy,DEF,83,63,58,68,80,76,12,0,2
Player 6,Italy,DEF,86,66,61,71,87,83,36,5,1
Player 7,Italy,DEF,87,67,62,72,90,91,37,5,1
Player 8,Italy,DEF,88,68,63,73,86,73,31,0,1
Player 9,Italy,DEF,89,69,64,74,95,78,19,2,1
Player 10,Italy,DEF,84,64,59,69,89,82,15,1,0
Player 11,Italy,DEF,82,62,57,67,88,70,45,3,1
Player 12,Italy,MID,85,88,60,87,55,73,18,5,6
Player 13,Italy,MID,80,86,55,78,50,85,42,1,4
Player 14,Italy,MID,84,82,59,82,54,76,25,3,3
Player 15,Italy,MID,87,92,62,86,57,73,23,3,2
Player 16,Italy,MID,86,79,61,90,56,71,16,2,8
Player 17,Italy,MID,89,75,64,91,59,72,32,2,4
Player 18,Italy,MID,85,92,60,86,55,80,34,3,5
Player 19,Italy,MID,85,92,60,89,55,84,34,1,4
Player 20,Italy,FWD,81,87,84,66,51,81,34,13,2
Player 21,Italy,FWD,84,94,81,69,54,84,24,0,6
Player 22,Italy,FWD,82,75,77,67,52,80,28,11,3
Player 23,Italy,FWD,85,82,76,70,55,90,30,10,1
Player 1,Germany,GK,89,69,64,74,59,85,12,4,0
Player 2,Germany,GK,82,62,57,67,52,88,11,3,1
Player 3,Germany,GK,86,66,61,71,56,75,39,4,1
Player 4,Germany,DEF,87,67,62,72,88,87,12,1,0
Player 5,Germany,DEF,81,61,56,66,78,71,11,0,1
Player 6,Germany,DEF,85,65,60,70,88,71,14,2,1
Player 7,Germany,DEF,87,67,62,72,95,73,31,4,0
Player 8,Germany,DEF,87,67,62,72,89,84,26,1,0
Player 9,Germany,DEF,82,62,57,67,90,84,42,3,0
Player 10,Germany,DEF,85,65,60,70,90,83,13,1,0
Player 11,Germany,DEF,83,63,58,68,91,79,34,3,1
Player 12,Germany,MID,85,82,60,87,55,77,41,5,10
Player 13,Germany,MID,87,81,62,86,57,78,10,1,0
Player 14,Germany,MID,88,80,63,89,58,70,21,2,2
Player 15,Germany,MID,89,82,64,87,59,72,10,4,10
Player 16,Germany,MID,81,66,56,87,51,77,18,1,9
Player 17,Germany,MID,85,87,60,86,55,92,21,4,8
Player 18,Germany,MID,81,82,56,80,51,90,25,1,7
Player 19,Germany,MID,81,88,56,76,51,77,21,5,5
Player 20,Germany,FWD,81,75,79,66,51,77,36,15,2
Player 21,Germany,FWD,85,80,88,70,55,85,38,1,0
Player 22,Germany,FWD,84,73,82,69,54,70,37,4,7
Player 23,Germany,FWD,88,87,86,73,58,71,45,6,7
Player 1,Belgium,GK,84,64,59,69,54,80,34,4,0
Player 2,Belgium,GK,81,61,56,66,51,71,26,1,2
Player 3,Belgium,GK,89,69,64,74,59,80,28,2,2
Player 4,Belgium,DEF,82,62,57,67,89,80,35,1,0
Player 5,Belgium,DEF,88,68,63,73,84,75,39,4,0
Player 6,Belgium,DEF,81,61,56,66,77,78,14,0,2
Player 7,Belgium,DEF,85,65,60,70,85,90,25,2,1
Player 8,Belgium,DEF,88,68,63,73,83,78,12,1,2
Player 9,Belgium,DEF,85,65,60,70,87,77,29,1,0
Player 10,Belgium,DEF,80,60,55,65,84,78,12,3,2
Player 11,Belgium,DEF,83,63,58,68,82,79,7,0,0
Player 12,Belgium,MID,82,90,57,78,52,72,18,5,5
Player 13,Belgium,MID,80,89,55,87,50,77,27,0,4
Player 14,Belgium,MID,83,80,58,79,53,82,27,4,5
Player 15,Belgium,MID,86,78,61,91,56,73,35,2,7
Player 16,Belgium,MID,84,85,59,81,54,71,20,1,4
Player 17,Belgium,MID,84,94,59,89,54,91,25,3,6
Player 18,Belgium,MID,81,89,56,80,51,92,37,0,7
Player 19,Belgium,MID,80,80,55,75,50,71,24,3,3
Player 20,Belgium,FWD,84,77,85,69,54,80,31,7,7
Player 21,Belgium,FWD,88,80,88,73,58,78,24,15,9
Player 22,Belgium,FWD,85,90,75,70,55,81,8,12,1
Player 23,Belgium,FWD,88,75,87,73,58,85,37,11,5
Player 1,Croatia,GK,82,62,57,67,52,85,6,2,0
Player 2,Croatia,GK,81,61,56,66,51,90,34,2,2
Player 3,Croatia,GK,81,61,56,66,51,78,37,3,0
Player 4,Croatia,DEF,79,59,54,64,81,86,27,1,0
Player 5,Croatia,DEF,87,67,62,72,84,90,18,5,1
Player 6,Croatia,DEF,84,64,59,69,86,81,20,1,1
Player 7,Croatia,DEF,80,60,55,65,86,89,15,1,1
Player 8,Croatia,DEF,88,68,63,73,86,86,6,2,0
Player 9,Croatia,DEF,82,62,57,67,83,92,23,2,0
Player 10,Croatia,DEF,88,68,63,73,92,92,34,4,2
Player 11,Croatia,DEF,80,60,55,65,87,71,26,4,0
Player 12,Croatia,MID,84,74,59,79,54,89,8,3,10
Player 13,Croatia,MID,86,95,61,90,56,75,28,1,8
Player 14,Croatia,MID,84,87,59,83,54,83,13,0,5
Player 15,Croatia,MID,87,90,62,85,57,87,41,2,8
Player 16,Croatia,MID,80,85,55,78,50,88,27,5,5
Player 17,Croatia,MID,85,92,60,85,55,78,31,4,7
Player 18,Croatia,MID,80,85,55,85,50,88,38,0,7
Player 19,Croatia,MID,88,96,63,87,58,78,11,1,4
Player 20,Croatia,FWD,81,69,85,66,51,70,41,14,0
Player 21,Croatia,FWD,82,82,76,67,52,76,20,4,10
Player 22,Croatia,FWD,83,81,79,68,53,92,36,2,2
Player 23,Croatia,FWD,80,79,84,65,50,82,12,8,2
Player 1,Uruguay,GK,86,66,61,71,56,72,21,0,0
Player 2,Uruguay,GK,81,61,56,66,51,71,5,2,0
Player 3,Uruguay,GK,82,62,57,67,52,72,43,2,1
Player 4,Uruguay,DEF,80,60,55,65,79,71,6,0,0
Player 5,Uruguay,DEF,83,63,58,68,89,87,26,3,2
Player 6,Uruguay,DEF,84,64,59,69,83,82,20,0,0
Player 7,Uruguay,DEF,87,67,62,72,91,82,28,4,1
Player 8,Uruguay,DEF,81,61,56,66,76,75,28,1,0
Player 9,Uruguay,DEF,82,62,57,67,78,78,5,5,1
Player 10,Uruguay,DEF,87,67,62,72,95,75,5,2,2
Player 11,Uruguay,DEF,81,61,56,66,84,91,41,0,2
Player 12,Uruguay,MID,80,80,55,88,50,72,32,1,6
Player 13,Uruguay,MID,87,80,62,85,57,73,13,4,10
Player 14,Uruguay,MID,83,85,58,83,53,88,11,5,2
Player 15,Uruguay,MID,81,68,56,86,51,78,24,0,9
Player 16,Uruguay,MID,86,88,61,89,56,72,22,3,10
Player 17,Uruguay,MID,88,76,63,84,58,91,11,1,0
Player 18,Uruguay,MID,89,85,64,92,59,87,42,0,6
Player 19,Uruguay,MID,84,86,59,88,54,70,22,5,7
Player 20,Uruguay,FWD,82,78,73,67,52,81,19,7,6
Player 21,Uruguay,FWD,80,83,72,65,50,89,27,0,5
Player 22,Uruguay,FWD,84,69,84,69,54,76,11,7,8
Player 23,Uruguay,FWD,84,75,85,69,54,92,21,14,3
Player 1,Colombia,GK,85,65,60,70,55,77,16,0,2
Player 2,Colombia,GK,80,60,55,65,50,92,42,3,2
Player 3,Colombia,GK,85,65,60,70,55,70,15,5,1
Player 4,Colombia,DEF,85,65,60,70,84,90,34,3,1
Player 5,Colombia,DEF,80,60,55,65,79,73,32,1,2
Player 6,Colombia,DEF,88,68,63,73,83,85,15,0,2
Player 7,Colombia,DEF,81,61,56,66,83,71,26,5,1
Player 8,Colombia,DEF,81,61,56,66,85,89,34,0,0
Player 9,Colombia,DEF,83,63,58,68,81,70,37,4,2
Player 10,Colombia,DEF,87,67,62,72,93,89,10,3,2
Player 11,Colombia,DEF,87,67,62,72,94,90,32,1,2
Player 12,Colombia,MID,86,89,61,81,56,79,16,3,6
Player 13,Colombia,MID,80,86,55,75,50,71,20,1,9
Player 14,Colombia,MID,83,83,58,79,53,83,28,0,7
Player 15,Colombia,MID,88,88,63,87,58,71,19,3,6
Player 16,Colombia,MID,83,81,58,79,53,74,39,5,9
Player 17,Colombia,MID,85,75,60,92,55,79,43,1,5
Player 18,Colombia,MID,87,77,62,86,57,75,45,5,4
Player 19,Colombia,MID,85,77,60,87,55,91,16,0,2
Player 20,Colombia,FWD,83,83,81,68,53,71,15,15,10
Player 21,Colombia,FWD,80,71,70,65,50,88,13,15,5
Player 22,Colombia,FWD,79,84,73,64,49,84,34,1,3
Player 23,Colombia,FWD,86,91,79,71,56,78,24,3,4
Player 1,Morocco,GK,85,65,60,70,55,90,26,0,0
Player 2,Morocco,GK,80,60,55,65,50,81,7,3,2
Player 3,Morocco,GK,81,61,56,66,51,91,11,1,1
Player 4,Morocco,DEF,79,59,54,64,85,70,45,3,0
Player 5,Morocco,DEF,82,62,57,67,88,86,18,2,0
Player 6,Morocco,DEF,83,63,58,68,85,77,8,3,1
Player 7,Morocco,DEF,84,64,59,69,85,71,40,2,0
Player 8,Morocco,DEF,81,61,56,66,78,77,25,2,0
Player 9,Morocco,DEF,83,63,58,68,88,83,35,3,1
Player 10,Morocco,DEF,81,61,56,66,84,83,12,3,2
Player 11,Morocco,DEF,83,63,58,68,88,90,39,0,0
Player 12,Morocco,MID,83,75,58,84,53,74,8,1,1
Player 13,Morocco,MID,86,75,61,82,56,83,8,3,1
Player 14,Morocco,MID,86,74,61,84,56,75,8,2,6
Player 15,Morocco,MID,82,67,57,82,52,72,27,3,7
Player 16,Morocco,MID,87,82,62,82,57,76,17,5,4
Player 17,Morocco,MID,84,81,59,79,54,75,44,3,4
Player 18,Morocco,MID,86,78,61,93,56,91,20,4,3
Player 19,Morocco,MID,87,90,62,92,57,82,33,4,1
Player 20,Morocco,FWD,86,72,87,71,56,92,8,6,9
Player 21,Morocco,FWD,86,93,84,71,56,70,40,13,3
Player 22,Morocco,FWD,84,87,82,69,54,82,45,10,4
Player 23,Morocco,FWD,84,76,84,69,54,71,24,0,0
Player 1,USA,GK,86,66,61,71,56,71,18,0,1
Player 2,USA,GK,86,66,61,71,56,81,18,1,2
Player 3,USA,GK,82,62,57,67,52,90,30,0,1
Player 4,USA,DEF,86,66,61,71,83,85,38,5,1
Player 5,USA,DEF,78,58,53,63,81,86,29,1,1
Player 6,USA,DEF,86,66,61,71,87,92,41,2,2
Player 7,USA,DEF,81,61,56,66,82,75,35,2,0
Player 8,USA,DEF,77,57,52,62,77,72,8,4,1
Player 9,USA,DEF,78,58,53,63,86,83,25,4,0
Player 10,USA,DEF,77,57,52,62,79,87,30,5,2
Player 11,USA,DEF,84,64,59,69,90,82,29,5,2
Player 12,USA,MID,83,72,58,79,53,72,18,3,10
Player 13,USA,MID,86,74,61,83,56,78,21,0,7
Player 14,USA,MID,83,80,58,78,53,78,13,0,5
Player 15,USA,MID,84,92,59,92,54,92,18,4,2
Player 16,USA,MID,78,74,53,81,48,72,45,1,3
Player 17,USA,MID,81,72,56,83,51,80,12,1,2
Player 18,USA,MID,84,89,59,80,54,92,11,4,10
Player 19,USA,MID,78,81,53,81,48,91,26,5,1
Player 20,USA,FWD,81,73,81,66,51,89,8,0,7
Player 21,USA,FWD,81,70,75,66,51,86,12,2,1
Player 22,USA,FWD,86,93,82,71,56,81,32,1,0
Player 23,USA,FWD,81,74,79,66,51,75,20,11,2
Player 1,Mexico,GK,82,62,57,67,52,89,9,2,2
Player 2,Mexico,GK,80,60,55,65,50,73,40,3,2
Player 3,Mexico,GK,85,65,60,70,55,72,23,2,1
Player 4,Mexico,DEF,78,58,53,63,74,74,43,3,1
Player 5,Mexico,DEF,78,58,53,63,76,88,35,0,1
Player 6,Mexico,DEF,80,60,55,65,88,79,28,1,1
Player 7,Mexico,DEF,82,62,57,67,79,77,5,1,0
Player 8,Mexico,DEF,78,58,53,63,83,78,34,1,0
Player 9,Mexico,DEF,83,63,58,68,91,72,19,3,1
Player 10,Mexico,DEF,80,60,55,65,84,92,29,0,2
Player 11,Mexico,DEF,80,60,55,65,86,91,22,4,0
Player 12,Mexico,MID,84,81,59,87,54,90,26,3,2
Player 13,Mexico,MID,76,81,51,71,46,86,35,1,4
Player 14,Mexico,MID,85,86,60,80,55,90,21,0,4
Player 15,Mexico,MID,85,71,60,85,55,82,26,0,1
Player 16,Mexico,MID,83,76,58,88,53,82,27,3,7
Player 17,Mexico,MID,80,65,55,80,50,81,22,5,0
Player 18,Mexico,MID,85,77,60,87,55,91,28,2,7
Player 19,Mexico,MID,76,86,51,73,46,80,22,3,9
Player 20,Mexico,FWD,79,86,80,64,49,79,16,1,4
Player 21,Mexico,FWD,83,81,82,68,53,83,8,7,1
Player 22,Mexico,FWD,81,83,81,66,51,74,20,10,5
Player 23,Mexico,FWD,81,87,81,66,51,74,26,6,0
Player 1,Japan,GK,81,61,56,66,51,91,9,1,1
Player 2,Japan,GK,87,67,62,72,57,87,5,2,1
Player 3,Japan,GK,85,65,60,70,55,75,23,4,1
Player 4,Japan,DEF,84,64,59,69,85,84,25,2,2
Player 5,Japan,DEF,78,58,53,63,86,92,39,5,2
Player 6,Japan,DEF,78,58,53,63,75,79,6,3,1
Player 7,Japan,DEF,80,60,55,65,79,77,13,4,1
Player 8,Japan,DEF,83,63,58,68,86,87,33,3,2
Player 9,Japan,DEF,85,65,60,70,85,75,9,1,0
Player 10,Japan,DEF,81,61,56,66,80,74,45,5,0
Player 11,Japan,DEF,79,59,54,64,78,81,40,3,0
Player 12,Japan,MID,78,76,53,83,48,86,15,4,4
Player 13,Japan,MID,87,96,62,83,57,78,28,0,6
Player 14,Japan,MID,78,85,53,85,48,72,14,3,6
Player 15,Japan,MID,87,93,62,95,57,86,40,2,8
Player 16,Japan,MID,80,77,55,75,50,70,34,3,2
Player 17,Japan,MID,84,75,59,87,54,88,8,4,4
Player 18,Japan,MID,81,66,56,86,51,77,29,3,10
Player 19,Japan,MID,81,89,56,89,51,81,29,4,9
Player 20,Japan,FWD,82,92,76,67,52,77,31,14,7
Player 21,Japan,FWD,82,80,75,67,52,89,34,1,9
Player 22,Japan,FWD,85,88,82,70,55,92,10,0,8
Player 23,Japan,FWD,85,92,76,70,55,76,5,8,4
Player 1,Senegal,GK,84,64,59,69,54,75,45,0,0
Player 2,Senegal,GK,80,60,55,65,50,82,22,0,0
Player 3,Senegal,GK,78,58,53,63,48,71,16,1,2
Player 4,Senegal,DEF,83,63,58,68,84,89,11,5,2
Player 5,Senegal,DEF,82,62,57,67,77,90,35,3,2
Player 6,Senegal,DEF,85,65,60,70,89,89,28,1,2
Player 7,Senegal,DEF,81,61,56,66,83,87,39,5,2
Player 8,Senegal,DEF,85,65,60,70,90,91,9,4,0
Player 9,Senegal,DEF,86,66,61,71,89,78,16,1,1
Player 10,Senegal,DEF,79,59,54,64,79,79,19,4,0
Player 11,Senegal,DEF,82,62,57,67,88,78,32,5,2
Player 12,Senegal,MID,79,70,54,82,49,70,38,4,10
Player 13,Senegal,MID,83,88,58,78,53,85,32,0,1
Player 14,Senegal,MID,83,77,58,84,53,92,34,3,0
Player 15,Senegal,MID,85,70,60,84,55,72,44,4,9
Player 16,Senegal,MID,81,79,56,76,51,91,28,0,3
Player 17,Senegal,MID,82,69,57,84,52,71,38,5,6
Player 18,Senegal,MID,78,71,53,77,48,81,28,4,0
Player 19,Senegal,MID,82,82,57,90,52,84,6,2,2
Player 20,Senegal,FWD,77,74,71,62,47,85,14,3,7
Player 21,Senegal,FWD,81,72,85,66,51,91,19,14,4
Player 22,Senegal,FWD,86,75,90,71,56,72,43,4,9
Player 23,Senegal,FWD,84,73,85,69,54,77,24,13,5
Player 1,Iran,GK,75,55,50,60,45,85,9,5,0
Player 2,Iran,GK,83,63,58,68,53,78,27,3,2
Player 3,Iran,GK,74,54,49,59,44,92,35,5,2
Player 4,Iran,DEF,76,56,51,61,78,81,27,1,2
Player 5,Iran,DEF,83,63,58,68,88,76,32,5,0
Player 6,Iran,DEF,77,57,52,62,76,70,33,2,2
Player 7,Iran,DEF,80,60,55,65,75,80,44,5,2
Player 8,Iran,DEF,82,62,57,67,88,85,37,5,1
Player 9,Iran,DEF,79,59,54,64,75,80,31,2,2
Player 10,Iran,DEF,80,60,55,65,86,85,34,1,1
Player 11,Iran,DEF,75,55,50,60,79,74,11,4,0
Player 12,Iran,MID,76,61,51,83,46,83,21,0,8
Player 13,Iran,MID,82,92,57,81,52,91,16,3,10
Player 14,Iran,MID,76,75,51,73,46,90,13,3,8
Player 15,Iran,MID,80,81,55,78,50,83,15,3,4
Player 16,Iran,MID,75,83,50,82,45,71,32,4,2
Player 17,Iran,MID,77,62,52,74,47,71,38,2,5
Player 18,Iran,MID,75,69,50,83,45,85,6,3,6
Player 19,Iran,MID,82,69,57,84,52,86,32,3,9
Player 20,Iran,FWD,81,83,72,66,51,91,27,14,3
Player 21,Iran,FWD,80,84,71,65,50,74,17,7,9
Player 22,Iran,FWD,79,83,73,64,49,75,21,14,4
Player 23,Iran,FWD,79,88,75,64,49,75,39,10,6
Player 1,Denmark,GK,77,57,52,62,47,75,19,0,2
Player 2,Denmark,GK,78,58,53,63,48,73,26,5,1
Player 3,Denmark,GK,81,61,56,66,51,80,14,0,0
Player 4,Denmark,DEF,80,60,55,65,77,83,38,5,0
Player 5,Denmark,DEF,84,64,59,69,81,85,45,0,1
Player 6,Denmark,DEF,76,56,51,61,80,87,31,1,0
Player 7,Denmark,DEF,83,63,58,68,84,76,27,5,1
Player 8,Denmark,DEF,83,63,58,68,89,84,29,0,2
Player 9,Denmark,DEF,84,64,59,69,87,73,13,2,2
Player 10,Denmark,DEF,77,57,52,62,76,89,6,3,1
