country,rank,points,confederation,date
Nigeria,34,1507,CAF,2018-11-28
Egypt,35,1518,CAF,2018-11-28
Canada,36,1504,CONCACAF,2018-11-28
Algeria,37,1467,CAF,2018-11-28
Peru,38,1482,CONMEBOL,2018-11-28
Cameroon,39,1453,CAF,2018-11-28
Tunisia,40,1486,CAF,2018-11-28
Costa Rica,41,1424,CONCACAF,2018-11-28
Saudi Arabia,42,1426,AFC,2018-11-28
Jamaica,43,1419,CONCACAF,2018-11-28
South Africa,44,1407,CAF,2018-11-28
Ghana,45,1405,CAF,2018-11-28
Uzbekistan,46,1415,AFC,2018-11-28
Iraq,47,1400,AFC,2018-11-28
New Zealand,48,1225,OFC,2018-11-28
Argentina,1,1867,CONMEBOL,2019-05-27
France,2,1841,UEFA,2019-05-27
Spain,3,1806,UEFA,2019-05-27
Portugal,4,1758,UEFA,2019-05-27
England,5,1806,UEFA,2019-05-27
Belgium,6,1762,UEFA,2019-05-27
Brazil,7,1780,CONMEBOL,2019-05-27
Croatia,8,1725,UEFA,2019-05-27
Netherlands,9,1746,UEFA,2019-05-27
Italy,10,1720,UEFA,2019-05-27
Germany,11,1719,UEFA,2019-05-27
Mexico,12,1662,CONCACAF,2019-05-27
Colombia,13,1700,CONMEBOL,2019-05-27
Morocco,14,1685,CAF,2019-05-27
Uruguay,15,1676,CONMEBOL,2019-05-27
Japan,16,1623,AFC,2019-05-27
USA,17,1645,CONCACAF,2019-05-27
Denmark,18,1600,UEFA,2019-05-27
Switzerland,19,1629,UEFA,2019-05-27
Ukraine,20,1588,UEFA,2019-05-27
Austria,21,1575,UEFA,2019-05-27
South Korea,22,1591,AFC,2019-05-27
Senegal,23,1611,CAF,2019-05-27
Iran,24,1617,AFC,2019-05-27
Turkey,25,1559,UEFA,2019-05-27
Australia,26,1591,AFC,2019-05-27
Sweden,27,1538,UEFA,2019-05-27
Egypt,28,1505,CAF,2019-05-27
Poland,29,1542,UEFA,2019-05-27
Ecuador,30,1544,CONMEBOL,2019-05-27
Canada,31,1489,CONCACAF,2019-05-27
Nigeria,32,1507,CAF,2019-05-27
Wales,33,1535,UEFA,2019-05-27
Panama,34,1470,CONCACAF,2019-05-27
Peru,35,1471,CONMEBOL,2019-05-27
Chile,36,1499,CONMEBOL,2019-05-27
Cameroon,37,1471,CAF,2019-05-27
Algeria,38,1483,CAF,2019-05-27
Jamaica,39,1445,CONCACAF,2019-05-27
Iraq,40,1404,AFC,2019-05-27
Qatar,41,1493,AFC,2019-05-27
Tunisia,42,1490,CAF,2019-05-27
Saudi Arabia,43,1428,AFC,2019-05-27
Uzbekistan,44,1410,AFC,2019-05-27
Costa Rica,45,1426,CONCACAF,2019-05-27
South Africa,46,1414,CAF,2019-05-27
Ghana,47,1404,CAF,2019-05-27
New Zealand,48,1213,OFC,2019-05-27
Argentina,1,1858,CONMEBOL,2019-11-23
France,2,1843,UEFA,2019-11-23
Brazil,3,1782,CONMEBOL,2019-11-23
Spain,4,1802,UEFA,2019-11-23
Belgium,5,1760,UEFA,2019-11-23
England,6,1800,UEFA,2019-11-23
Italy,7,1736,UEFA,2019-11-23
Netherlands,8,1734,UEFA,2019-11-23
Portugal,9,1749,UEFA,2019-11-23
Colombia,10,1701,CONMEBOL,2019-11-23
Morocco,11,1668,CAF,2019-11-23
Croatia,12,1707,UEFA,2019-11-23
USA,13,1655,CONCACAF,2019-11-23
Germany,14,1698,UEFA,2019-11-23
Mexico,15,1660,CONCACAF,2019-11-23
Uruguay,16,1664,CONMEBOL,2019-11-23
Japan,17,1639,AFC,2019-11-23
Senegal,18,1635,CAF,2019-11-23
Switzerland,19,1620,UEFA,2019-11-23
Iran,20,1608,AFC,2019-11-23
Denmark,21,1599,UEFA,2019-11-23
South Korea,22,1579,AFC,2019-11-23
Ecuador,23,1543,CONMEBOL,2019-11-23
Turkey,24,1566,UEFA,2019-11-23
Ukraine,25,1583,UEFA,2019-11-23
Australia,26,1565,AFC,2019-11-23
Poland,27,1549,UEFA,2019-11-23
Wales,28,1508,UEFA,2019-11-23
Austria,29,1559,UEFA,2019-11-23
Sweden,30,1525,UEFA,2019-11-23
Egypt,31,1524,CAF,2019-11-23
Tunisia,32,1475,CAF,2019-11-23
Panama,33,1473,CONCACAF,2019-11-23
Peru,34,1475,CONMEBOL,2019-11-23
Canada,35,1507,CONCACAF,2019-11-23
Nigeria,36,1498,CAF,2019-11-23
Chile,37,1483,CONMEBOL,2019-11-23
Qatar,38,1505,AFC,2019-11-23
Cameroon,39,1446,CAF,2019-11-23
Jamaica,40,1431,CONCACAF,2019-11-23
Algeria,41,1482,CAF,2019-11-23
Costa Rica,42,1446,CONCACAF,2019-11-23
Saudi Arabia,43,1430,AFC,2019-11-23
Ghana,44,1387,CAF,2019-11-23
Iraq,45,1402,AFC,2019-11-23
South Africa,46,1419,CAF,2019-11-23
Uzbekistan,47,1400,AFC,2019-11-23
New Zealand,48,1230,OFC,2019-11-23
Argentina,1,1846,CONMEBOL,2020-05-21
France,2,1847,UEFA,2020-05-21
Spain,3,1822,UEFA,2020-05-21
England,4,1815,UEFA,2020-05-21
Brazil,5,1791,CONMEBOL,2020-05-21
Portugal,6,1743,UEFA,2020-05-21
Belgium,7,1774,UEFA,2020-05-21
Italy,8,1740,UEFA,2020-05-21
Germany,9,1690,UEFA,2020-05-21
Netherlands,10,1730,UEFA,2020-05-21
Croatia,11,1710,UEFA,2020-05-21
Morocco,12,1674,CAF,2020-05-21
Uruguay,13,1664,CONMEBOL,2020-05-21
Colombia,14,1704,CONMEBOL,2020-05-21
USA,15,1637,CONCACAF,2020-05-21
Senegal,16,1622,CAF,2020-05-21
Japan,17,1615,AFC,2020-05-21
Mexico,18,1640,CONCACAF,2020-05-21
Iran,19,1604,AFC,2020-05-21
Austria,20,1567,UEFA,2020-05-21
Australia,21,1575,AFC,2020-05-21
Switzerland,22,1630,UEFA,2020-05-21
Denmark,23,1605,UEFA,2020-05-21
South Korea,24,1582,AFC,2020-05-21
Poland,25,1531,UEFA,2020-05-21
Turkey,26,1555,UEFA,2020-05-21
Ukraine,27,1587,UEFA,2020-05-21
Nigeria,28,1497,CAF,2020-05-21
Sweden,29,1545,UEFA,2020-05-21
Ecuador,30,1560,CONMEBOL,2020-05-21
Wales,31,1521,UEFA,2020-05-21
Qatar,32,1482,AFC,2020-05-21
Egypt,33,1527,CAF,2020-05-21
Canada,34,1495,CONCACAF,2020-05-21
Chile,35,1494,CONMEBOL,2020-05-21
Tunisia,36,1490,CAF,2020-05-21
Costa Rica,37,1446,CONCACAF,2020-05-21
Cameroon,38,1449,CAF,2020-05-21
Peru,39,1480,CONMEBOL,2020-05-21
Algeria,40,1477,CAF,2020-05-21
Jamaica,41,1437,CONCACAF,2020-05-21
Panama,42,1479,CONCACAF,2020-05-21
Ghana,43,1391,CAF,2020-05-21
Saudi Arabia,44,1440,AFC,2020-05-21
Uzbekistan,45,1416,AFC,2020-05-21
South Africa,46,1422,CAF,2020-05-21
Iraq,47,1401,AFC,2020-05-21
New Zealand,48,1206,OFC,2020-05-21
Argentina,1,1863,CONMEBOL,2020-11-17
France,2,1831,UEFA,2020-11-17
England,3,1815,UEFA,2020-11-17
Spain,4,1798,UEFA,2020-11-17
Belgium,5,1764,UEFA,2020-11-17
Brazil,6,1799,CONMEBOL,2020-11-17
Netherlands,7,1739,UEFA,2020-11-17
Portugal,8,1758,UEFA,2020-11-17
Croatia,9,1723,UEFA,2020-11-17
Italy,10,1715,UEFA,2020-11-17
Uruguay,11,1665,CONMEBOL,2020-11-17
Germany,12,1693,UEFA,2020-11-17
Colombia,13,1690,CONMEBOL,2020-11-17
Morocco,14,1676,CAF,2020-11-17
USA,15,1645,CONCACAF,2020-11-17
Senegal,16,1610,CAF,2020-11-17
Mexico,17,1667,CONCACAF,2020-11-17
Iran,18,1597,AFC,2020-11-17
Switzerland,19,1628,UEFA,2020-11-17
Japan,20,1621,AFC,2020-11-17
Austria,21,1583,UEFA,2020-11-17
Denmark,22,1601,UEFA,2020-11-17
Turkey,23,1546,UEFA,2020-11-17
Ukraine,24,1568,UEFA,2020-11-17
South Korea,25,1601,AFC,2020-11-17
Australia,26,1566,AFC,2020-11-17
Ecuador,27,1537,CONMEBOL,2020-11-17
Sweden,28,1540,UEFA,2020-11-17
Egypt,29,1530,CAF,2020-11-17
Wales,30,1530,UEFA,2020-11-17
Poland,31,1554,UEFA,2020-11-17
Nigeria,32,1512,CAF,2020-11-17
Peru,33,1480,CONMEBOL,2020-11-17
Tunisia,34,1481,CAF,2020-11-17
Algeria,35,1470,CAF,2020-11-17
Jamaica,36,1418,CONCACAF,2020-11-17
Chile,37,1495,CONMEBOL,2020-11-17
Qatar,38,1504,AFC,2020-11-17
Canada,39,1495,CONCACAF,2020-11-17
Saudi Arabia,40,1447,AFC,2020-11-17
Cameroon,41,1457,CAF,2020-11-17
Panama,42,1483,CONCACAF,2020-11-17
Ghana,43,1393,CAF,2020-11-17
Iraq,44,1420,AFC,2020-11-17
Uzbekistan,45,1409,AFC,2020-11-17
Costa Rica,46,1432,CONCACAF,2020-11-17
South Africa,47,1416,CAF,2020-11-17
New Zealand,48,1229,OFC,2020-11-17
Argentina,1,1875,CONMEBOL,2021-05-16
France,2,1849,UEFA,2021-05-16
England,3,1801,UEFA,2021-05-16
Belgium,4,1761,UEFA,2021-05-16
Spain,5,1822,UEFA,2021-05-16
Brazil,6,1794,CONMEBOL,2021-05-16
Portugal,7,1765,UEFA,2021-05-16
Netherlands,8,1726,UEFA,2021-05-16
Germany,9,1706,UEFA,2021-05-16
Croatia,10,1715,UEFA,2021-05-16
Italy,11,1713,UEFA,2021-05-16
USA,12,1662,CONCACAF,2021-05-16
Colombia,13,1700,CONMEBOL,2021-05-16
Mexico,14,1655,CONCACAF,2021-05-16
Switzerland,15,1620,UEFA,2021-05-16
Uruguay,16,1653,CONMEBOL,2021-05-16
Morocco,17,1683,CAF,2021-05-16
Japan,18,1644,AFC,2021-05-16
Denmark,19,1593,UEFA,2021-05-16
Iran,20,1624,AFC,2021-05-16
Senegal,21,1626,CAF,2021-05-16
South Korea,22,1604,AFC,2021-05-16
Turkey,23,1549,UEFA,2021-05-16
Ukraine,24,1588,UEFA,2021-05-16
Austria,25,1559,UEFA,2021-05-16
Sweden,26,1530,UEFA,2021-05-16
Australia,27,1592,AFC,2021-05-16
Poland,28,1555,UEFA,2021-05-16
Ecuador,29,1549,CONMEBOL,2021-05-16
Nigeria,30,1501,CAF,2021-05-16
Canada,31,1501,CONCACAF,2021-05-16
Egypt,32,1502,CAF,2021-05-16
Chile,33,1471,CONMEBOL,2021-05-16
Wales,34,1506,UEFA,2021-05-16
Saudi Arabia,35,1455,AFC,2021-05-16
Panama,36,1472,CONCACAF,2021-05-16
Qatar,37,1495,AFC,2021-05-16
Algeria,38,1460,CAF,2021-05-16
Peru,39,1469,CONMEBOL,2021-05-16
Iraq,40,1415,AFC,2021-05-16
South Africa,41,1396,CAF,2021-05-16
Tunisia,42,1467,CAF,2021-05-16
Cameroon,43,1468,CAF,2021-05-16
Jamaica,44,1421,CONCACAF,2021-05-16
Uzbekistan,45,1410,AFC,2021-05-16
Costa Rica,46,1436,CONCACAF,2021-05-16
Ghana,47,1392,CAF,2021-05-16
New Zealand,48,1213,OFC,2021-05-16
Argentina,1,1875,CONMEBOL,2021-11-12
France,2,1859,UEFA,2021-11-12
Spain,3,1816,UEFA,2021-11-12
Brazil,4,1785,CONMEBOL,2021-11-12
Belgium,5,1773,UEFA,2021-11-12
England,6,1813,UEFA,2021-11-12
Portugal,7,1746,UEFA,2021-11-12
Italy,8,1732,UEFA,2021-11-12
Croatia,9,1707,UEFA,2021-11-12
Netherlands,10,1741,UEFA,2021-11-12
Morocco,11,1688,CAF,2021-11-12
Germany,12,1705,UEFA,2021-11-12
Uruguay,13,1663,CONMEBOL,2021-11-12
USA,14,1641,CONCACAF,2021-11-12
Colombia,15,1688,CONMEBOL,2021-11-12
Senegal,16,1631,CAF,2021-11-12
Iran,17,1604,AFC,2021-11-12
Mexico,18,1641,CONCACAF,2021-11-12
Japan,19,1639,AFC,2021-11-12
Switzerland,20,1630,UEFA,2021-11-12
Turkey,21,1546,UEFA,2021-11-12
South Korea,22,1594,AFC,2021-11-12
Denmark,23,1596,UEFA,2021-11-12
Australia,24,1583,AFC,2021-11-12
Ukraine,25,1585,UEFA,2021-11-12
Wales,26,1513,UEFA,2021-11-12
Austria,27,1581,UEFA,2021-11-12
Egypt,28,1513,CAF,2021-11-12
Ecuador,29,1558,CONMEBOL,2021-11-12
Sweden,30,1517,UEFA,2021-11-12
Poland,31,1539,UEFA,2021-11-12
Chile,32,1491,CONMEBOL,2021-11-12
Peru,33,1479,CONMEBOL,2021-11-12
Panama,34,1457,CONCACAF,2021-11-12
Cameroon,35,1451,CAF,2021-11-12
Nigeria,36,1520,CAF,2021-11-12
Qatar,37,1492,AFC,2021-11-12
Costa Rica,38,1445,CONCACAF,2021-11-12
Saudi Arabia,39,1436,AFC,2021-11-12
Jamaica,40,1417,CONCACAF,2021-11-12
Tunisia,41,1470,CAF,2021-11-12
Canada,42,1497,CONCACAF,2021-11-12
Algeria,43,1459,CAF,2021-11-12
South Africa,44,1407,CAF,2021-11-12
Uzbekistan,45,1391,AFC,2021-11-12
Ghana,46,1406,CAF,2021-11-12
Iraq,47,1403,AFC,2021-11-12
New Zealand,48,1221,OFC,2021-11-12
France,1,1842,UEFA,2022-05-11
Argentina,2,1857,CONMEBOL,2022-05-11
England,3,1811,UEFA,2022-05-11
Brazil,4,1786,CONMEBOL,2022-05-11
Spain,5,1817,UEFA,2022-05-11
Italy,6,1738,UEFA,2022-05-11
Belgium,7,1777,UEFA,2022-05-11
Netherlands,8,1741,UEFA,2022-05-11
Morocco,9,1682,CAF,2022-05-11
Portugal,10,1748,UEFA,2022-05-11
Croatia,11,1720,UEFA,2022-05-11
USA,12,1635,CONCACAF,2022-05-11
Colombia,13,1695,CONMEBOL,2022-05-11
Germany,14,1711,UEFA,2022-05-11
Uruguay,15,1652,CONMEBOL,2022-05-11
Japan,16,1626,AFC,2022-05-11
Iran,17,1622,AFC,2022-05-11
Switzerland,18,1626,UEFA,2022-05-11
Senegal,19,1632,CAF,2022-05-11
Mexico,20,1642,CONCACAF,2022-05-11
Australia,21,1568,AFC,2022-05-11
Denmark,22,1596,UEFA,2022-05-11
Ukraine,23,1573,UEFA,2022-05-11
South Korea,24,1575,AFC,2022-05-11
Turkey,25,1565,UEFA,2022-05-11
Ecuador,26,1561,CONMEBOL,2022-05-11
Poland,27,1530,UEFA,2022-05-11
Austria,28,1557,UEFA,2022-05-11
Wales,29,1528,UEFA,2022-05-11
Egypt,30,1501,CAF,2022-05-11
Chile,31,1483,CONMEBOL,2022-05-11
Sweden,32,1540,UEFA,2022-05-11
Qatar,33,1476,AFC,2022-05-11
Canada,34,1506,CONCACAF,2022-05-11
Tunisia,35,1484,CAF,2022-05-11
Algeria,36,1481,CAF,2022-05-11
Panama,37,1460,CONCACAF,2022-05-11
Nigeria,38,1525,CAF,2022-05-11
Saudi Arabia,39,1436,AFC,2022-05-11
Peru,40,1479,CONMEBOL,2022-05-11
Iraq,41,1420,AFC,2022-05-11
South Africa,42,1417,CAF,2022-05-11
Cameroon,43,1461,CAF,2022-05-11
Costa Rica,44,1433,CONCACAF,2022-05-11
Uzbekistan,45,1420,AFC,2022-05-11
Jamaica,46,1423,CONCACAF,2022-05-11
Ghana,47,1404,CAF,2022-05-11
New Zealand,48,1205,OFC,2022-05-11
France,1,1856,UEFA,2022-11-07
Argentina,2,1873,CONMEBOL,2022-11-07
England,3,1799,UEFA,2022-11-07
Brazil,4,1799,CONMEBOL,2022-11-07
Spain,5,1807,UEFA,2022-11-07
Netherlands,6,1744,UEFA,2022-11-07
Germany,7,1701,UEFA,2022-11-07
Belgium,8,1777,UEFA,2022-11-07
Portugal,9,1756,UEFA,2022-11-07
Italy,10,1736,UEFA,2022-11-07
Croatia,11,1725,UEFA,2022-11-07
Uruguay,12,1675,CONMEBOL,2022-11-07
Morocco,13,1687,CAF,2022-11-07
Mexico,14,1645,CONCACAF,2022-11-07
Colombia,15,1677,CONMEBOL,2022-11-07
USA,16,1655,CONCACAF,2022-11-07
Japan,17,1637,AFC,2022-11-07
Denmark,18,1598,UEFA,2022-11-07
Switzerland,19,1623,UEFA,2022-11-07
Senegal,20,1615,CAF,2022-11-07
Iran,21,1598,AFC,2022-11-07
Ecuador,22,1548,CONMEBOL,2022-11-07
South Korea,23,1591,AFC,2022-11-07
Sweden,24,1539,UEFA,2022-11-07
Poland,25,1536,UEFA,2022-11-07
Ukraine,26,1579,UEFA,2022-11-07
Australia,27,1579,AFC,2022-11-07
Austria,28,1580,UEFA,2022-11-07
Turkey,29,1552,UEFA,2022-11-07
Egypt,30,1514,CAF,2022-11-07
Qatar,31,1495,AFC,2022-11-07
Wales,32,1511,UEFA,2022-11-07
Canada,33,1504,CONCACAF,2022-11-07
Tunisia,34,1476,CAF,2022-11-07
Peru,35,1490,CONMEBOL,2022-11-07
Chile,36,1473,CONMEBOL,2022-11-07
Nigeria,37,1517,CAF,2022-11-07
Algeria,38,1478,CAF,2022-11-07
Cameroon,39,1449,CAF,2022-11-07
Panama,40,1462,CONCACAF,2022-11-07
Costa Rica,41,1447,CONCACAF,2022-11-07
Saudi Arabia,42,1455,AFC,2022-11-07
South Africa,43,1422,CAF,2022-11-07
Jamaica,44,1441,CONCACAF,2022-11-07
Iraq,45,1408,AFC,2022-11-07
Uzbekistan,46,1399,AFC,2022-11-07
Ghana,47,1405,CAF,2022-11-07
New Zealand,48,1211,OFC,2022-11-07
Argentina,1,1854,CONMEBOL,2023-05-06
England,2,1808,UEFA,2023-05-06
Brazil,3,1788,CONMEBOL,2023-05-06
France,4,1844,UEFA,2023-05-06
Spain,5,1795,UEFA,2023-05-06
Belgium,6,1776,UEFA,2023-05-06
Germany,7,1719,UEFA,2023-05-06
Croatia,8,1719,UEFA,2023-05-06
Portugal,9,1756,UEFA,2023-05-06
Colombia,10,1700,CONMEBOL,2023-05-06
Italy,11,1737,UEFA,2023-05-06
Morocco,12,1688,CAF,2023-05-06
Netherlands,13,1726,UEFA,2023-05-06
Japan,14,1640,AFC,2023-05-06
Mexico,15,1641,CONCACAF,2023-05-06
Senegal,16,1612,CAF,2023-05-06
Uruguay,17,1675,CONMEBOL,2023-05-06
USA,18,1649,CONCACAF,2023-05-06
Switzerland,19,1620,UEFA,2023-05-06
Iran,20,1617,AFC,2023-05-06
South Korea,21,1581,AFC,2023-05-06
Ukraine,22,1567,UEFA,2023-05-06
Australia,23,1587,AFC,2023-05-06
Denmark,24,1590,UEFA,2023-05-06
Austria,25,1569,UEFA,2023-05-06
Turkey,26,1556,UEFA,2023-05-06
Sweden,27,1538,UEFA,2023-05-06
Ecuador,28,1558,CONMEBOL,2023-05-06
Wales,29,1527,UEFA,2023-05-06
Chile,30,1498,CONMEBOL,2023-05-06
Peru,31,1461,CONMEBOL,2023-05-06
Poland,32,1531,UEFA,2023-05-06
Egypt,33,1512,CAF,2023-05-06
Nigeria,34,1521,CAF,2023-05-06
Qatar,35,1477,AFC,2023-05-06
Algeria,36,1483,CAF,2023-05-06
Cameroon,37,1471,CAF,2023-05-06
Canada,38,1483,CONCACAF,2023-05-06
Tunisia,39,1469,CAF,2023-05-06
Costa Rica,40,1425,CONCACAF,2023-05-06
Panama,41,1476,CONCACAF,2023-05-06
Ghana,42,1396,CAF,2023-05-06
Iraq,43,1419,AFC,2023-05-06
Jamaica,44,1419,CONCACAF,2023-05-06
Saudi Arabia,45,1443,AFC,2023-05-06
South Africa,46,1402,CAF,2023-05-06
Uzbekistan,47,1410,AFC,2023-05-06
New Zealand,48,1224,OFC,2023-05-06
Argentina,1,1865,CONMEBOL,2023-11-02
Spain,2,1805,UEFA,2023-11-02
France,3,1838,UEFA,2023-11-02
Brazil,4,1779,CONMEBOL,2023-11-02
Portugal,5,1753,UEFA,2023-11-02
England,6,1787,UEFA,2023-11-02
Netherlands,7,1726,UEFA,2023-11-02
Belgium,8,1773,UEFA,2023-11-02
Germany,9,1710,UEFA,2023-11-02
Italy,10,1718,UEFA,2023-11-02
Colombia,11,1697,CONMEBOL,2023-11-02
Croatia,12,1734,UEFA,2023-11-02
Uruguay,13,1655,CONMEBOL,2023-11-02
Senegal,14,1624,CAF,2023-11-02
Morocco,15,1677,CAF,2023-11-02
USA,16,1636,CONCACAF,2023-11-02
Mexico,17,1668,CONCACAF,2023-11-02
Japan,18,1631,AFC,2023-11-02
Iran,19,1614,AFC,2023-11-02
Switzerland,20,1611,UEFA,2023-11-02
Denmark,21,1605,UEFA,2023-11-02
Australia,22,1568,AFC,2023-11-02
Ukraine,23,1576,UEFA,2023-11-02
Austria,24,1581,UEFA,2023-11-02
South Korea,25,1600,AFC,2023-11-02
Ecuador,26,1541,CONMEBOL,2023-11-02
Wales,27,1506,UEFA,2023-11-02
Turkey,28,1551,UEFA,2023-11-02
Sweden,29,1515,UEFA,2023-11-02
Canada,30,1492,CONCACAF,2023-11-02
Nigeria,31,1497,CAF,2023-11-02
Chile,32,1488,CONMEBOL,2023-11-02
Egypt,33,1501,CAF,2023-11-02
Algeria,34,1469,CAF,2023-11-02
Poland,35,1528,UEFA,2023-11-02
Peru,36,1471,CONMEBOL,2023-11-02
Qatar,37,1490,AFC,2023-11-02
Tunisia,38,1478,CAF,2023-11-02
Cameroon,39,1462,CAF,2023-11-02
Costa Rica,40,1446,CONCACAF,2023-11-02
Saudi Arabia,41,1428,AFC,2023-11-02
Iraq,42,1417,AFC,2023-11-02
Panama,43,1485,CONCACAF,2023-11-02
South Africa,44,1405,CAF,2023-11-02
Uzbekistan,45,1409,AFC,2023-11-02
Ghana,46,1395,CAF,2023-11-02
Jamaica,47,1438,CONCACAF,2023-11-02
New Zealand,48,1209,OFC,2023-11-02
Argentina,1,1847,CONMEBOL,2024-04-30
France,2,1837,UEFA,2024-04-30
Spain,3,1804,UEFA,2024-04-30
Belgium,4,1758,UEFA,2024-04-30
England,5,1806,UEFA,2024-04-30
Brazil,6,1786,CONMEBOL,2024-04-30
Croatia,7,1712,UEFA,2024-04-30
Netherlands,8,1733,UEFA,2024-04-30
Portugal,9,1753,UEFA,2024-04-30
Italy,10,1735,UEFA,2024-04-30
Germany,11,1717,UEFA,2024-04-30
Morocco,12,1679,CAF,2024-04-30
Colombia,13,1686,CONMEBOL,2024-04-30
Uruguay,14,1663,CONMEBOL,2024-04-30
Senegal,15,1626,CAF,2024-04-30
Mexico,16,1653,CONCACAF,2024-04-30
Iran,17,1604,AFC,2024-04-30
Denmark,18,1609,UEFA,2024-04-30
Japan,19,1634,AFC,2024-04-30
Switzerland,20,1621,UEFA,2024-04-30
USA,21,1650,CONCACAF,2024-04-30
Ukraine,22,1587,UEFA,2024-04-30
Australia,23,1584,AFC,2024-04-30
Austria,24,1556,UEFA,2024-04-30
South Korea,25,1605,AFC,2024-04-30
Turkey,26,1552,UEFA,2024-04-30
Poland,27,1542,UEFA,2024-04-30
Ecuador,28,1552,CONMEBOL,2024-04-30
Egypt,29,1509,CAF,2024-04-30
Peru,30,1469,CONMEBOL,2024-04-30
Sweden,31,1528,UEFA,2024-04-30
Qatar,32,1486,AFC,2024-04-30
Wales,33,1511,UEFA,2024-04-30
Tunisia,34,1467,CAF,2024-04-30
Chile,35,1474,CONMEBOL,2024-04-30
Nigeria,36,1524,CAF,2024-04-30
Jamaica,37,1423,CONCACAF,2024-04-30
Panama,38,1480,CONCACAF,2024-04-30
Saudi Arabia,39,1427,AFC,2024-04-30
Canada,40,1485,CONCACAF,2024-04-30
Cameroon,41,1446,CAF,2024-04-30
Algeria,42,1459,CAF,2024-04-30
Costa Rica,43,1436,CONCACAF,2024-04-30
Uzbekistan,44,1409,AFC,2024-04-30
South Africa,45,1424,CAF,2024-04-30
Iraq,46,1421,AFC,2024-04-30
Ghana,47,1395,CAF,2024-04-30
New Zealand,48,1211,OFC,2024-04-30
France,1,1854,UEFA,2024-10-27
Argentina,2,1848,CONMEBOL,2024-10-27
Spain,3,1823,UEFA,2024-10-27
