date,home_team,away_team,home_score,away_score,tournament,neutral
2018-12-24,Peru,Tunisia,0,1,Nations League,1
2018-12-24,Turkey,Iran,2,0,Copa America,0
2018-12-24,Senegal,Austria,1,0,Friendly,0
2018-12-24,France,Spain,1,0,World Cup Qualification,1
2018-12-24,Argentina,Belgium,2,0,Nations League,1
2018-12-24,Morocco,Egypt,3,0,Africa Cup of Nations,0
2018-12-24,Tunisia,Uruguay,0,1,Africa Cup of Nations,1
2018-12-24,Sweden,Mexico,2,1,Nations League,0
2018-12-24,Saudi Arabia,USA,0,0,World Cup Qualification,1
2018-12-24,Saudi Arabia,Sweden,0,0,Copa America,0
2018-12-24,Sweden,Algeria,2,1,World Cup Qualification,0
2018-12-24,Colombia,Italy,2,0,UEFA Euro,0
2018-12-24,Netherlands,Denmark,1,0,UEFA Euro,0
2018-12-24,Jamaica,USA,0,2,Friendly,0
2018-12-24,Argentina,Germany,2,0,World Cup Qualification,1
2018-12-24,Ecuador,Algeria,3,1,Copa America,0
2019-01-15,Ukraine,Senegal,0,4,Africa Cup of Nations,0
2019-01-15,New Zealand,Netherlands,1,0,AFC Asian Cup,0
2019-01-15,England,Switzerland,3,0,Friendly,0
2019-01-15,Canada,Chile,0,1,AFC Asian Cup,0
2019-01-15,Senegal,Croatia,0,0,AFC Asian Cup,1
2019-01-15,Italy,Qatar,2,0,Copa America,1
2019-01-15,Portugal,Nigeria,0,0,AFC Asian Cup,0
2019-01-15,Ghana,Canada,0,0,Africa Cup of Nations,0
2019-01-15,Algeria,Portugal,3,1,UEFA Euro,0
2019-01-15,Spain,Portugal,3,2,Friendly,1
2019-01-15,Uruguay,Italy,0,3,Africa Cup of Nations,0
2019-01-15,Ghana,Iraq,3,0,Nations League,1
2019-01-15,Colombia,Cameroon,0,0,Friendly,0
2019-01-15,Peru,Tunisia,1,0,AFC Asian Cup,1
2019-01-15,Netherlands,Belgium,0,1,Africa Cup of Nations,1
2019-02-06,Jamaica,Uzbekistan,1,3,UEFA Euro,0
2019-02-06,France,Chile,1,0,World Cup Qualification,0
2019-02-06,England,USA,1,0,Africa Cup of Nations,1
2019-02-06,France,Chile,1,0,AFC Asian Cup,0
2019-02-06,Cameroon,Saudi Arabia,3,1,Copa America,1
2019-02-06,Spain,Nigeria,1,0,Copa America,0
2019-02-06,Portugal,Algeria,2,0,Nations League,1
2019-02-06,France,Brazil,2,1,Friendly,0
2019-02-06,Chile,Turkey,2,0,World Cup Qualification,0
2019-02-06,Japan,USA,3,1,UEFA Euro,1
2019-02-06,Wales,Canada,0,0,Friendly,0
2019-02-06,Ecuador,England,0,1,UEFA Euro,1
2019-02-06,Chile,Panama,0,1,UEFA Euro,0
2019-02-06,Poland,Qatar,3,3,World Cup Qualification,1
2019-02-06,Saudi Arabia,Japan,1,3,World Cup Qualification,0
2019-02-26,Chile,Sweden,0,0,Africa Cup of Nations,1
2019-02-26,Switzerland,Cameroon,0,0,World Cup Qualification,0
2019-02-26,Germany,Mexico,1,0,Copa America,0
2019-02-26,Austria,Netherlands,0,2,Africa Cup of Nations,1
2019-02-26,Costa Rica,Egypt,1,0,UEFA Euro,0
2019-02-26,Japan,South Africa,0,1,Copa America,0
2019-02-26,Switzerland,Nigeria,0,3,Africa Cup of Nations,0
2019-02-26,New Zealand,Turkey,1,0,AFC Asian Cup,1
2019-02-26,Croatia,Senegal,0,0,Nations League,1
2019-02-26,Iran,Australia,2,1,Africa Cup of Nations,0
2019-02-26,Ghana,Saudi Arabia,4,0,Friendly,1
2019-02-26,USA,Italy,0,3,UEFA Euro,1
2019-02-26,Portugal,Turkey,3,0,AFC Asian Cup,0
2019-02-26,Switzerland,Jamaica,3,0,Africa Cup of Nations,0
2019-02-26,Canada,Qatar,2,0,AFC Asian Cup,0
2019-02-26,Canada,South Korea,3,0,Friendly,0
2019-02-26,Uzbekistan,Netherlands,2,2,Africa Cup of Nations,1
2019-02-26,Switzerland,Tunisia,1,0,World Cup Qualification,0
2019-02-26,USA,Australia,3,0,World Cup Qualification,0
2019-02-26,Croatia,Iran,3,0,AFC Asian Cup,0
2019-03-22,Senegal,Ukraine,0,0,Africa Cup of Nations,1
2019-03-22,Cameroon,Chile,1,0,Copa America,1
